question,true_short_answer,predicted_short_answer
"[başlık] Avasküler nekroz nasıl önlenir? [başlık] Avn'ye neden olan koşulları yönetin. [adım] Bu durumun önlenmesi, buna neden olan altta yatan koşulların tedavi edilmesini ve ortaya çıkabileceği potansiyel koşulların yönetilmesini gerektirir. Genel olarak avn konuşması tromboz, emboli veya genel kemik kırıklarının bir sonucudur.
Şıklar:
A- Çoğu durumda liposuction, avn'nin kafatasının kapakçıklarını korumasını sağlamak ve bu mekanizmanın tıkanmasını engellemek için çalışır. Çoğu avn hastası, karın organlarını daha iyi durumda tutmak için kan damarları mevcut olduğunda altta yatan nedenlerin farkına varır.
B- Buna katkıda bulunmuş olabilecek altta yatan koşulları yöneterek durumunuzu yönetmenize yardımcı olmaya başlayabilirsiniz. [alt adımlar] Avn tedavi rejiminizin etkili olmasını sağlamak için durumunuzun pullanmasını artırın.
C- [alt adımlar] Tromboz ve emboli çoğunlukla ameliyat sonrası veya kırıklardan ve kırık uzuvların uzun süre hareketsiz kalmasından sonra ortaya çıkar. Her ikisi de uygun rehabilitasyon ve gerekirse heparin gibi antikoagülan tedavinin uygulanmasıyla önlenebilir.
D- Binaların, sokakların, arabaların ve yapıların çoğu, hastalığın ilk aşaması olan hastalığın ilk aşamalarında yer almaktadır. Kuluçka dönemleri tek yıldan tüm yıla veya birden fazla yıla kadar değişiklik gösterir, bu nedenle avn'nin sorun haline gelmesini önleyecek diğer yöntemlerin göz ardı edilmesi önemlidir.",C,C
"[header] Saçlar lavaboda nasıl yıkanır? [title] Saçınıza uygun şampuan ve saç kremini seçin. [adım] Farklı saç tiplerinin hepsinin farklı şampuan ve saç kremi ihtiyaçları olacaktır. [alt adımlar] Saçınız kıvırcık veya dalgalıysa nemlendirici bir şampuana/saç kremine ihtiyacınız olacaktır.
Şıklar:
A- Saçınız dalgalıysa, saçlar ıslanmaya karşı dayanıklı olduğundan saç kremi kullanmak en iyisi olacaktır. Kıvırcık saçlar için nemlendirici şampuan arayın, böylece nemlendirici bir saç ürününü kaçırmazsınız.
B- Bukleler, bukleler, dalgalar veya buklelerin hepsinin farklı şampuanları ve saç kremleri olabilir. Ancak kıvırcık veya dalgalı saçlar için özel olarak tasarlanmış bir şampuan ve saç kremi arayın.
C- Saçınız düzse, düzlüğü en aza indirmek için hacim veren bir şampuan/saç kremi isteyeceksiniz. Saçınız dalgalı, kıvırcık veya hasarlıysa, hasarı tedavi edebilecek, dolaşıklıkları açabilecek ve yumuşatabilecek bir şampuan/saç kremi isteyeceksiniz.
D- Şampuan hem düz hem de dalgalı saçlarda işe yarar. Saçlarınız daha kıvırcıksa şampuanlayın.",C,B
"Adam bir antikayı ovuyor. Balmumu tutan adamı görüyoruz. Adam tahtaya balmumu siliyor. adam
Şıklar:
A- elini kapının üzerine sürüyor ve bir şifonyer görüyoruz.
B- bir tahta parçasının üzerine kuru balmumu üflüyor.
C- bölünmüş sat'a ahşap ekler.
D- kurutulmuş balmumunu ahşap üzerinde döndürüyor.",A,B
"İki adam kameraya konuşuyor, aralarına lakros oynadıkları aksiyon görüntüleri serpiştiriliyor. Turuncu giyinmiş adam kameraya konuşuyor. turunculu adam
Şıklar:
A- topu turuncu giyen adama verir ve ona topa vurmasını söyler.
B- lakros topunun duvara doğru atılmasını gösterir.
C- kamerayla konuşmaya devam edin.
D- sahada bazı toplara tekme atıyor.",B,D
"[header] Duygusal olarak [title]'ı esirgeyen bir partnerle nasıl başa çıkılır? Bire bir sohbet için oturun. [adım] Partnerinizin duygusal engellenmesini gidermenin en uygulanabilir yolu, ondan konu hakkında sizinle bire bir görüşme yapmasını istemektir. Rahatsız edilmeyeceğiniz tarafsız bir yerde konuşmanızı önerin.
Şıklar:
A- İyi aydınlatılmış, özel bir alan, kalabalık bir alandan daha uygun görünebilir. [alt adımlar] Eşinize, eğer bir aile üyesi varsa, konuşmayı gizli tutup tutamayacağınızı sorun.
B- [alt adımlar] Sessiz bir ortam daha iyi bir seçimdir çünkü partnerinizle konuşma eylemi dikkatinizi dağıtabilir. [title] Partnerinize nasıl hissettikleri hakkında sorular sorun.
C- Birlikte yaşıyorsanız konuşmayı mutfak masasında veya oturma odasında yapmayı seçebilirsiniz. Ayrı alanlarda yaşıyorsanız, parkta bir bank veya sessiz bir yerel kafe önerebilirsiniz.
D- [alt adımlar] Evde bire bir görüşme yapmak muhtemelen en iyi sonucu verecektir. Endişelerinizi partnerinizle dinlenme odasında veya trafiğin az olduğu başka bir özel yerde tartışın.",C,B
"Laboratuvar önlüğü giyen bir doktor da lenslerden bahsediyor, insanlar da lenslerin nasıl kullanılacağını gösteriyor. başka bir haber spikeri
Şıklar:
A- kontakt lenslerden ve bunların ne kadar robotik olabileceğinden bahsediyor.
B- ayrıca aynı lenslerden ve bunun gençler arasında nasıl tehlikeli bir trend haline geldiğinden bahsediyor.
C- olayla ilgili röportaj yapılıyor.
D- lens ve içecekten bahsediyor yabancı dilde basılmış lens denilen reklamdır.",B,C
"[header] Peyzaj nasıl yapılır [title] Bütçenize karar verin. [adım] Uzmanlar evinizin değerinin yüzde beş ila 15'ini çevre düzenlemesine harcamanızı tavsiye ediyor; ancak toplam maliyeti bir ila beş yıllık çalışma arasında bölmek isteyebilirsiniz. [title] Neyi beğendiğinizi görmek için bir yıl bekleyin.
Şıklar:
A- [adım] Peyzajınızın kalitesi hala bahçenizdeki bitkilerin çoğu için bir maliyet belirlemektedir; Daha az doğal bitki örtüsüne sahip bir bölgede yaşıyorsanız bazı peyzaj firmaları sizi ciddiye almaya istekli olmayabilir. Diğer yatırım şirketleri yalnızca ihtiyaçlarınıza uygun bir miktar önerebilir.
B- [adım] ""Bahçe"" kelimesi, ister güzel kokmak, ister sabahları kahve içmek, ister düzenli olarak bahçe işleri yapmak olsun, çevrenizde hoşunuza giden şeyleri tanımlamak için kullanacağınız tek dildir. [alt adımlar] Bu şekilde, hoşunuza giden mükemmel resmi bulmak için içeriye daha sık bakmaya hazır olursunuz.
C- [adım] Pek çok insan, rahatlamaya çalışırken akıllarına ilk gelen şeyin evlerinin rengi, aydınlatması ve tarzı olduğunu düşünüyor. Ancak bu gerçekten yılın paranızı en çok hareket ettirmek istediğiniz zamanı ile ilişkilidir.
D- [adım] Eğer yeni bir ev satın aldıysanız, uzmanlar bahçenizde neyi sevip neyi sevmediğinizi görmek için bir yıl boyunca onunla yaşamanızı tavsiye ediyor. Hangi alanların gölgeli, güneşli ve rüzgarlı olduğunu görme şansınız olacak.",D,D
"[header] 12 adım nasıl yapılır [title] Bağımlılığınız konusunda güçsüz olduğunuzu, yaşamınızın yönetilemez hale geldiğini kabul edin. [adım] Bağımlılık bir hastalıktır. İnkar, bize bir sorunumuz olmadığını söyleyen hastalığın bir parçasıdır.
Şıklar:
A- [alt adımlar] İnkar, aklımızdaki her şeye inanmayı imkansız hale getirebilir. Yaşamın bazı yönlerini bizim için yönetilemez hale getiren şey, tanıma, katılma, öğrenme ve deneyimleme konusundaki yetersizliğimizdir.
B- Hayatınızın itici gücü kontrolünüz dışında olduğunda güçsüz olursunuz. Hayatınızı yönetememeniz, güçsüzlüğünüzün dışsal kanıtıdır.
C- Eğer yalanı değiştirebilirsen döngüyü durdurabilirsin. [alt adımlar] Kontrolünüz dışında gidecek hiçbir yeri olmayan bir bağımlılığınız olduğunu unutmayın.
D- Kendinize şunu söyleyin: ""Ne yapıp ne yapmayacağınızı kontrol etme gücüm yok."" kontrol.",B,B
"[başlık] Bir danışmanlık programı nasıl geliştirilir? [başlık] Temel uzmanlık alanınızı tanımlayın. [adım] Bütçeleme, işletme yönetimi, hukuki tavsiye, vergi muhasebesi, beslenme tavsiyesi ve kariyer danışmanlığı, başkalarına faydalı olabilecek uzmanlıklardan sadece birkaçıdır. [title] Danışmanlık programınız için ideal hizmet alıcılarını düşünün.
Şıklar:
A- [adım] Ticari hizmetlerin dışında, finansal planlarınız işte ilerlemeyi sağlamak için kullanılan standart hizmetler kadar önemli olmayabilir. Ticari kuruluşunuzun desteğinden uygun temsilcileri bulmak, işletmenizin önemli ölçüde açılmasını ve gelecekte bir kazayla karıştırılmamanızı sağlayabilir.
B- [adım] Uzmanlığınızdan yararlanabilecek bireyleri, grupları, kuruluşları ve işletmeleri düşünün. Birkaç örnek arasında kariyer arayışındaki genç yetişkinler, sınırlı kaynaklara sahip küçük işletmeler, bir hastalıktan iyileşme süreci yaşayan bireyler ve maddi sıkıntı yaşayan aileler yer alıyor.
C- [adım] Hukuki belgelerin çevrimiçi olarak tasarlanmasıyla ilgileneceğiniz için, iş dünyasındaki müşterilerinizin nelerle ilgileneceğine odaklanmanız gerekecektir. [başlık] Stajyer değerlendirme sürecindeki temel kavramları tartışın.
D- [adım] Ortalama bir iş belirlediğinizde, bir kuruluşun size ne kadar vereceği konusunda iyi bir fikre sahip olmak önemlidir. [title] Mevcut işletmelerinizin her biri hakkında biraz araştırma yapın.",B,B
"[header] Psikolojik aile içi şiddete nasıl başvurulur? [title] Tehlikedeyseniz yardım alın. [adım] Bazen duygusal ve psikolojik istismar fiziksel şiddete dönüşebilir. Hayatınızın tehdit altında olduğunu hissediyorsanız derhal yardım aramalısınız.
Şıklar:
A- Maddi tazminatın mevcut olup olmadığı veya vefat eden yakınınızın yalnız olup olmadığı ve mali açıdan bunu karşılayamayacak durumda olup olmadığı konusunda hemen yardım aramalısınız. [alt adımlar] Ani bir gelir kaybı veya finansal bağımsızlık yaşarsanız hukuki yardım alın.
B- Mümkün olan en kısa sürede hukuki yardım aramalısınız ve istismarın ciddiyeti ne olursa olsun tıbbi yardım almalısınız. [alt adımlar] Mağdurun eşi veya çocuğu olup olmadığını sorun.
C- Acil servisinizi veya aile içi şiddet yardım hattını arayabilirsiniz. [alt adımlar] Amerika Birleşik Devletleri'nde 911'i arayabilir veya 1-800-799-7233 numaralı ulusal aile içi şiddet yardım hattını arayabilirsiniz.
D- Yardım alan ilk kişi siz olacaksınız. [alt adımlar] 1-800-273-1213 numaralı telefondan veya bölgenizdeki bir acil servisten aile içi şiddet yardım hattını bulun.",C,C
"[header] Japonca öğrenmeye nasıl başlanır? [title] Hiragana öğrenin. [adım] Hiragana Japon alfabesidir. 51 fonetik karakterden oluşur ve her karakter tam olarak bir sesi temsil eder.
Şıklar:
A- Her Japonca harfin kendi fonetik sesi vardır. Hiragana, Japon dilinin en öfkeli ses veren kısımlarından biridir.
B- (Bu, bir harfin farklı bağlamlarda farklı ses çıkarabileceği İngilizce'den farklıdır). Hiragana'yı öğrendikten sonra Japonca herhangi bir kelimenin nasıl telaffuz edildiğini de bileceksiniz.
C- Hiragana öğrenmek her gün daha fazlasını öğrenmenizi sağlayacaktır. Bunu yapmak için önce kendi başınıza öğrenmeyi denemelisiniz.
D- Hiragana genellikle gösteriler yapmak için olduğu kadar sunumlar yapmak için de kullanılır. Harflerin telaffuzu farklılık gösterir ve doğru telaffuzu öğrenmeniz önemlidir.",B,B
"[header] Kızların sizi fark etmesi için nasıl havalı olunur [title] Kişisel hijyeninizi koruyun. [adım] Kızların onunla ilgilenmesini bekliyorsan, görünüşüne dikkat etmelisin. İlk adım düzenli duş almak, her gün dişlerinizi fırçalamak ve deodorant kullanmaktır.
Şıklar:
A- Şampuanınızın taze ve koyu renkte olduğundan emin olun ki kızlar kolonyanızın kokusunu almasın. Ayrıca kızlara dokunmanıza ne zaman izin verildiğinin farkında olmalı ve kendinizi temizlediğinizden emin olmalısınız.
B- [alt adımlar] Vücut spreyi veya kolonya sizi kızlar için daha çekici kılabilir. Sarı koltuk altı lekeleri terlemeyi önleyici deodoranttan kaynaklanabilir.
C- Ayrıca düzenli olarak şampuanlamalı, saç kremi kullanmalı ve vücut spreyi kullanmalısınız ki kızların size saygı duyup duymayacağını bilsinler. [alt adımlar] Kızların hijyeninizi kıskanmasını gerçekten planlamıyorsanız, her iki veya üç günde bir duş alın, ancak bunu yalnızca hijyen uygulamalarınız değiştirildikten sonra yapın.
D- Aksi takdirde görünüşünüzü düzeltmek için biraz çaba harcamanız gerekebilir. [alt adımlar] Örneğin, parlak renkleri seviyorsanız ama bu renklerle havalı kalmak istiyorsanız, daha parlak bir mor veya renkli bir diş macunu tercih etmeyi düşünün.",B,B
"[başlık] Kayak bağlamaları nasıl seçilir [başlık] Eğlence amaçlı kayak için standart Alp disiplini bağlamalarını seçin. [adım] Alp disiplini bağlamaları, yokuş aşağı tatil kayaklarında en yaygın kullanılan türdür. Standart boyutlarda gelirler, nispeten hafiftirler ve düşme durumunda kolayca ayrılırlar.
Şıklar:
A- Bunlara en çok kayak pistlerine veya rafting duraklarına giden kayakçılar tarafından erişilebilir. Bazı bağımsız bağlamalar özellikle tepe kayağı için yapılmıştır, ancak bu bağlamalar kayak mağazalarından, kayak mağazalarından ve internetten satın alınabilir.
B- [alt adımlar] Yeni başlayan kayakçılar 1,14 ila 1,6 kalınlıktaki bağlamaları denemelidir çünkü daha uzun iğler kullanırken daha fazla kontrol sunarlar. Giyilmek üzere tasarlanmamışlardır ve yeni başlayanların çoğu bunları daha az tehlikeli olarak görmektedir.
C- Ayrıca, içeri girmelerini kolaylaştıran ve dışarı çıktığınızda kaymalarını önleyen yerleşik frenlere de sahiptirler. [alt adımlar] Alpine bağları, hızlı takma ve çıkarma için ayrı burun ve topuk parçalarından yararlanır.
D- [alt adımlar] Sert dış dikişli kışlık bağlamaların kullanımı nispeten kolaydır. Seyahat bağlamaları daha rahattır, daha uzun ömürlüdür ve daha az maliyetlidir.",C,B
"Bir kek bir tabakta oturuyor. Tereyağı çikolatayla birlikte bir tencereye alınır. daha fazla içerik
Şıklar:
A- bir kasede karıştırılıp bir tabağın üzerine konur.
B- eklenir ve birisi üzerine krema sürer.
C- eklenir ve ekranda beyaz kelimeler görünür.
D- tencereye eklenir.",D,D
"Bir kadının oturma odasında elinde frizbi tutan bir köpekle ayakta durduğu görülüyor. Kadın daha sonra köpekle oynamaya ve frizbinin etrafında dönmeye başlar. kadın
Şıklar:
A- köpek eğilip uzaklara bakarken köpekle oynamaya devam ediyor.
B- sonunda köpeğin kuyruğunu sallayıp uzaklaşır.
C- Frizbiyi hâlâ elinde tutarken köpekle numaralar yapıyor.
D- bir cihaz kullanarak frizbiyi kendi etrafında döndürmeye devam ediyor.",C,C
