question,true_short_answer,predicted_short_answer
"Hangi ifade bir cismin kütlesini en iyi şekilde tanımlar?
Şıklar:
A. nesnenin ağırlığı
B. nesnenin hacmi
C. nesnedeki madde miktarı
D. nesne üzerindeki yerçekimi kuvvetinin miktarı",C,C
"Kaplanlar ve ev kedileri aynı ailenin üyeleridir; ancak boyutları oldukça farklıdır. Bu farkın nedeni nedir?
Şıklar:
A. biyokimyasal makyaj
B. davranışsal makyaj
C. genetik
D. habitat boyutu",C,C
"Tyrone plastik bir şişe suya iki taş koydu ve onu salladı. Şişeyi sallamayı bıraktıktan sonra küçük taş parçalarının suda yüzdüğünü gözlemledi. Bu gözleme dayanarak yapabileceği en iyi tahmin nedir? Şişeyi sallamak taş parçalarının kırılmasına neden oluyorsa,
Şıklar:
A. daha sonra soğuk su kullanmak daha fazla parçanın kırılmasına neden olur.
B. daha sonra sıcak su kullanmak taşların renk değiştirmesini sağlayacaktır.
C. daha sonra daha uzun süre sallamak daha fazla parçanın kırılmasına neden olacaktır.
D. daha sonra daha kısa bir süre sallamak kayaların renk değiştirmesine neden olur.",C,C
"Bir ağacın sapı ile bir çiçeğin sapı nasıl birbirine çok benzer?
Şıklar:
A. İkisi de yumuşak.
B. Her ikisinin de dikenleri var.
C. Her ikisi de tesisi destekliyor.
D. Her ikisinin de odunsu kabuğu vardır.",C,C
"Bir öğrenci yanlışlıkla yere düştüğünde kırılan bir test tüpünü düşürür. Kırık camı geri almanın en iyi yolu hangisidir?
Şıklar:
A. parçaları kağıt havluyla alın
B. kimyasal dökülme kiti kullanın
C. faraş ve süpürge kullan
D. parçaları elle topla",C,D
"Asma köprü tasarlayan bir mühendis, köprünün başlangıçta tahmin edilenin iki katını taşıması gerektiğini keşfeder. Güvenliği sağlamak için mühendisin orijinal tasarımında yapması gereken bir değişiklik,
Şıklar:
A. gerilim altındaki tellerin uzunluğu.
B. gerilim altındaki tellerin çapı.
C. destek kulelerinin yüksekliği.
D. köprünün uzunluğu.",B,B
"Rolando çeşitli sıvıların hangi sıcaklıkta kaynadığını görmek istiyor. Musluk suyunu kaynatıp sıcaklığını kaydediyor. Daha sonra süt ilaveli musluk suyunu ve şeker ilaveli musluk suyunu kaynatıyor. Önce sade musluk suyunu kaynatmanın amacı nedir?
Şıklar:
A. manipüle edecek bir faktör eklemek
B. bir problemin olası bir açıklamasına sahip olmak
C. diğerlerini gözlemlerken bir değişkeni değiştirmek
D. sonuçların karşılaştırılabileceği bir standart sağlamak",D,D
"Kış ve yaz sıcaklıkları normalin altında ve yağış oranları normalin üzerinde olduğunda büyük olasılıkla ne olur?
Şıklar:
A. Erime suyu azalır ve buzulun boyutu azalır.
B. Erime suyu azalır ve buzulun boyutu artar.
C. Erime suyu artar ve buzulun boyutu azalır.
D. Erime suyu artar ve buzulun boyutu artar.",B,C
"Fotosentez sırasında hangi ürünler üretilir?
Şıklar:
A. klorür ve şeker
B. oksijen ve şeker
C. nitrojen ve şeker
D. karbondioksit ve şeker",B,B
"Pat bir miktar sofra tuzunu suda çözer. Daha sonra mikroskop lamı üzerine bir damla su koyuyor ve lambayı açıyor. Pat, su buharlaştıkça küçük kübik yapıların oluştuğunu gözlemliyor. Pat mikroskopta hangi süreci görüyor?
Şıklar:
A. cevherin saflaştırılması
B. bir kristalin büyümesi
C. sıvının katı hale gelmesi
D. granüllerin çökelmesi",B,B
"Bir öğrencinin bilinmeyen bir maddenin bileşimini belirlemesine en iyi hangi soru yardımcı olur?
Şıklar:
A. Numune sıcak mı soğuk mu?
B. Örnek ne kadar değerli?
C. Numune hiç eritildi mi?
D. Numune elektriği iletiyor mu?",D,A
"Bir bilim adamı, Maryland'e özgü bitkilerin çöl koşullarında ne kadar iyi büyüyebileceğini araştırdı. Bilim adamı eşit miktarda çöl toprağını 10 özdeş konteynere yerleştirdi. Her kapta aynı türden iki bitki bulunuyordu. Bilim adamı toplam 10 farklı bitki türünü araştırdı. Bilim adamı tüm kapları sıcak, çöl benzeri koşullar yaratacak şekilde ayarlanmış bir seraya yerleştirdi. Bilim adamı, önümüzdeki beş hafta boyunca bitkilere eşit ancak küçük miktarlarda su verdi. Beş haftalık araştırma sonrasında bitkilerin çoğu hayatta kalamadı. Hangi ifade, bitkilerden 16'sının neden hayatta kalmadığını en iyi şekilde açıklar?
Şıklar:
A. Bitkiler çöl koşullarında yetişmez.
B. Çevrelerindeki ciddi değişikliklere çok az bitki hayatta kalabilir.
C. Maryland'e özgü bitkiler bilimsel araştırmalar için iyi değildir.
D. Maryland'e özgü bitkiler yalnızca Maryland'de hayatta kalabilmektedir.",B,B
"Solucanlar üst toprakta rastgele hareket ederler. Solucanlar büyük olasılıkla üst toprağı nasıl etkiler?
Şıklar:
A. üst toprağın sıkıştırılmasıyla
B. üst toprağın verimliliğini azaltarak
C. üst toprağa besin ekleyerek
D. minerallerin üst topraktan uzaklaştırılmasıyla",C,B
"Aşağıdaki akarsu özelliklerinden hangisi akarsu çökelmelerini en doğrudan etkiler?
Şıklar:
A. degrade
B. yükseklik
C. Taban seviyesi
D. su kalitesi",A,C
"Ampul ışığın yanı sıra başka hangi enerji türünü üretir?
Şıklar:
A. termal
B. kimyasal
C. manyetik
D. mekanik",A,B
"Çiftçiler farklı türde ürünler yetiştiriyor. Aşağıdaki faktörlerden hangisi bir çiftçinin yetiştirdiği ürün türünü en çok etkiler?
Şıklar:
A. toprak derinliği
B. yağış miktarı
C. mevcut arazi miktarı
D. mevcut tohum sayısı",B,B
"İki özdeş kabın her birinde bir litre su bulunur. Bir kap sıvı halde oda sıcaklığında tutulur. Diğer kap ise dondurucuya konularak katı halde saklanır. Maddenin her iki durumunda da aynı olma olasılığı en yüksek olan özellik hangisidir?
Şıklar:
A. yoğunluk
B. yığın
C. şekil
D. hacim",B,D
"Bay Jenkins'in sınıfı cinsiyet kromozomları üzerinde çalışıyor. Öğrencilerine insan hücrelerinin çekirdeğinde 22 çift otozom bulunduğunu anlatıyor. İnsan vücudunda kaç tane cinsiyet kromozomu var?
Şıklar:
A. 1
B. 2
C. 23
D. 46",B,D
"Bir öğrenci suda ne kadar şekerin çözülebileceğini görmek için bir deney yaptı. Öğrenci suya kaç çay kaşığı şeker eklendiğini yazdı. Öğrencinin bilgiyi kaydetmesinin en olası nedeni nedir?
Şıklar:
A. Hangi tür suyun kullanılacağını görmek için
B. Hangi tür şekerin kullanılacağını bilmek
C. deneyin bir modelini oluşturmak
D. deneyi tekrarlayabilmek için",D,D
"Bir grup, Arkansas'ta uçan su kuşlarının sayısının her yıl değişip değişmediğini öğrenmek istiyor. Bu bilgiyi toplamak için hangi yöntemi kullanmaları gerekir?
Şıklar:
A. Bir yıl boyunca mümkün olduğu kadar çok kuş yakalayın. Her kuşun konumu hakkında veri toplayın.
B. Gelecek yıl baharın ilk gününde eyaletteki en büyük göldeki kuş sayısını sayın. Verileri geçen yılla karşılaştırın.
C. Eyalet hattında bir yere bir gözlemci koyun. Bu kişiden eyalete uçan kuşları saymasını isteyin. Bunu iki yıl boyunca yapın.
D. Taşıma sırasında yılda bir gün seçin. Eyalet genelindeki on farklı göldeki kuş sayısını sayın. Bunu on yıl boyunca her yıl aynı günde yapın.",D,D.
"Ölçmek için terazi kullanılır
Şıklar:
A. yığın.
B. uzunluk.
C. hacim.
D. sıcaklık.",A,C
"Bir tekne körfezden tatlı su gölüne doğru ilerledi ve göle yerli olmayan bir bitki getirdi. Yeni tesis tatlı su ortamına uyum sağlarsa gölde bunun en olası sonucu ne olur?
Şıklar:
A. Bazı yerli bitki popülasyonları artacak.
B. Bazı yerli bitki popülasyonları azalacak.
C. Su sıcaklıkları hızla dalgalanacaktır.
D. Su acı bir hale gelecektir.",B,B
"Hangi ifade İnternet'in birçok insanın yaşamını iyileştirmeye nasıl yardımcı olduğunu en iyi şekilde tanımlar?
Şıklar:
A. İnternet kütüphane ihtiyacını ortadan kaldırdı.
B. İnsanlar bilgiye birçok yerden ulaşabilmektedir.
C. İnsanlar artık işlerini evden de yapabiliyor.
D. İnternet öğrencilerin ödevlerine daha fazla konsantre olmalarını sağlar.",B,B
"Hangi süreç Dünya yüzeyindeki ani değişime en iyi örnektir?
Şıklar:
A. heyelanlar gevşek kayaları yokuş aşağı hareket ettiriyor
B. deniz tabanında biriken çökeltiler
C. Akarsuların ağzında deltalar oluşuyor
D. dağlar oluşuyor",A,A
"Aynı ekosistemde farklı otçul kemirgen türleri yaşıyordu. Hangi faktör büyük olasılıkla artarak kemirgenler arasında kaynaklar için daha fazla rekabete neden olmuştur?
Şıklar:
A. toprağın verimliliği
B. Bölgedeki üretici nüfusu
C. Yırtıcı hayvanların bıraktığı yiyecek artıklarının miktarı
D. birincil tüketicilerin bölgeye taşınma hızı",D,B
"Ay neden bazen gece görülebildiği gibi gündüz de görülebiliyor?
Şıklar:
A. Ay, Güneş'ten gelen ışığı her zaman yansıtır.
B. Güneş her gün Dünya ve Ay'ın etrafında döner.
C. Dünya her zaman Ay'dan gelen ışığı yansıtır.
D. Ay her gün Dünya'nın etrafında döner.",A,D
"Bir gece yırtıcı hayvan türünün vahşi doğada hayatta kalabilmek için zaman içinde hangi özellikleri geliştirmesi muhtemeldir?
Şıklar:
A. küçük bir boyut
B. düz, gıcırdayan dişler
C. keskin görüş ve işitme
D. hava değişikliklerine karşı direnç",C,C
"Bazı farklı bitki türlerinin ortak özellikleri vardır. Çoğu bitki hangi özelliği paylaşıyor?
Şıklar:
A. köklerinin büyüklüğü
B. yapraklarının şekli
C. çiçeklerinin rengi
D. hücrelerinin yapısı",D,D
"Algler, bakteriler ve çiçekli bitkiler için aşağıdakilerden hangisi doğrudur?
Şıklar:
A. İnorganiktirler.
B. Hepsinde klorofil var.
C. Hücrelerden oluşurlar.
D. Hepsi diğer organizmalarla beslenir.",C,B
"İnsanlardaki yarık çene, baskın alel C tarafından kodlanır. Yarık olmayan bir çene, resesif alel c tarafından kodlanır. Özellik için cc alel kombinasyonuna sahip bir erkek, bu özellik için Cc alel kombinasyonuna sahip bir kadınla birlikte bir zigot üretir. Zigotta hangi alel kombinasyonları oluşabilir?
Şıklar:
A. Cc veya cc
B. CC veya Cc
C. Yalnızca CC
D. Yalnızca bilgi",A,B
"Kök birçok bitkinin önemli bir parçasıdır. Aşağıdakilerden hangisi bitki gövdesinin üstlendiği role en çok benzemektedir?
Şıklar:
A. tekneyi yerinde tutan çapa
B. enerji barları üreten bir atıştırmalık şirketi
C. insanları bir mağazaya çeken renkli bir tabela
D. malzemeleri bir kattan diğerine taşıyan bir asansör",D,D
"Bir grup mühendis, farklı bina tasarımlarının deprem sırasında nasıl tepki vereceğini bilmek istedi. Birkaç bina modeli yaptılar ve her birinin deprem koşullarına dayanma yeteneği açısından test ettiler. Farklı bina tasarımlarının test edilmesinin sonucunda hangisi büyük olasılıkla ortaya çıkacaktır?
Şıklar:
A. Binalar daha hızlı inşa edilecek
B. Binalar daha güvenli hale getirilecek
C. bina tasarımları daha güzel görünecek
D. inşaat malzemeleri daha ucuz olacak",B,B
"Tanya, hangi ev eşyalarının mıknatıs tarafından çekildiğini araştırıyor. Hangisi onun bir sonuca varmasına yardımcı olacak?
Şıklar:
A. bir tahmin
B. bir hipotez
C. malzeme listesi
D. bir sonuç tablosu",D,B
"Bilim insanları Dünyanın sürekli değiştiğini biliyor. Günlük, aylık ve yıllık olarak tekrarlanan süreçlere aşinadırlar. Aşağıdakilerden hangisi her ay gerçekleşmesi tahmin edilebilecek doğa olaylarından biridir?
Şıklar:
A. Volkanik patlamalar
B. deprem etkinliği
C. Ay'ın safhaları
D. yağış miktarları",C,D
"Aşağıdaki hayvanlardan hangisi omurgasız bir hayvandır?
Şıklar:
A. Sincap
B. Deniz martı
C. Kriket
D. Kertenkele",C,C
"Bir öğrenci, odadaki havayla dolu, hava geçirmez, şeffaf bir kabın içine canlı bir yeşil bitki yerleştirdi. Konteyner bir hafta boyunca güneş ışığına maruz bırakıldı. Haftanın sonunda öğrenci hangi gazların konsantrasyonunun arttığını belirleyecekti. Bitkinin uygun şekilde büyümesi için yeterli su ve karbondioksitin mevcut olduğunu varsayarsak, artan konsantrasyonda hangi gazın bulunmasını beklersiniz?
Şıklar:
A. C
B. HAYIR_{2}
C. O_{2}
D. CO",C,D
"Bir öğrenci iki farklı hücrenin diyagramlarını inceledi. Hücrelerden biri prokaryotik, diğeri ise ökaryotikti. Öğrenci diyagramlar arasındaki büyük farkı belirlemek için ne yapmalıdır?
Şıklar:
A. iki hücrenin şekillerini karşılaştırın
B. Hangi diyagramın çekirdeği gösterdiğini kontrol edin
C. Hangi diyagramın sitoplazmayı gösterdiğini kontrol edin
D. iki hücredeki vakuol sayısını karşılaştırın",B,B
"Atomun hangi kısmı atomun merkezi etrafında döner?
Şıklar:
A. proton
B. çekirdek
C. nötron
D. elektron",D,D
"Dünyadaki tüm doğal kaynaklar ya yenilenebilir ya da yenilenemez. Bir kaynağın yenilenebilir veya yenilenemez olması, kaynağın ne kadar hızlı veya yavaş değiştirildiğine bağlıdır. Kaynak değiştirildiğinden daha hızlı kullanılırsa kaynak zamanla yok olacaktır. Yenilenemeyen doğal kaynakların kullanımını gösteren aktivite hangisidir?
Şıklar:
A. Bir grup insan nehirde yüzüyor.
B. Bir inşaat ekibi demir bir köprü inşa ediyor.
C. Bir çiftçi yerel pazarda satmak için sebze yetiştiriyor.
D. Bir kişi hidroelektrik santralinin ürettiği elektrikle kek pişiriyor.",B,B
"Ampullerin elektrik enerjisini verimli kullanma yetenekleri farklılık gösterir. Alicia bir akkor ampulü ve bir floresan ampulü yakmak için gereken elektrik enerjisi miktarını karşılaştırdı. Alicia elektrik enerjisi kullanımını karşılaştırmak için hangi birimleri kullanır?
Şıklar:
A. Newton
B. joule
C. volt
D. watt",B,D
"Elementlerin Periyodik Tablosunda bulunan elementlerin çoğunluğu
Şıklar:
A. gazlar.
B. metaller.
C. sıvılar.
D. metal olmayanlar.",B,B
"Donmuş karbondioksit (CO_{2}) ısıtıldığında doğrudan gaza dönüşür. Hangi ifade fiziksel bir değişimin gerçekleştiğini en iyi şekilde gösterir?
Şıklar:
A. Isı, gaz üretiminde artışa neden oldu.
B. Isı yeni bir maddenin oluşmasına neden oldu.
C. Isı enerjinin azalmasına neden oldu.
D. Isı durum değişikliğine neden oldu.",D,D
"Laboratuvardaki güvenli uygulamalar bunların hepsini kapsar.
Şıklar:
A. uzun saçları arkaya bağlamak.
B. güvenlik gözlüğü takıyor.
C. Her adımı hızlı bir şekilde gerçekleştirmek.
D. Dökülenleri hemen silerek.",C,B
"Spirogyra cinsel yolla çoğalabilen yeşil alglerdir. Aşağıdaki özelliklerden hangisi Spirogyra'daki üremeyi eşeyli üreme olarak tanımlar?
Şıklar:
A. Ana alglerin hücreleri çekirdeklere sahiptir.
B. Her yavru kloroplast içerir.
C. Aynı anda birden fazla yavru üretilebilir.
D. Genetik materyal iki ana hücre tarafından sağlanır.",D,D
"Dünyanın hangi fiziksel özelliği Ay'ın fiziksel özelliğine benzer?
Şıklar:
A. onun iklimi
B. onun büyük denizleri
C. onun atmosferi
D. onun dağ sıraları",D,D
"Bir adam çok yüksek bir dağın tepesine tırmandı. Dağın zirvesindeyken plastik su şişesindeki suyun tamamını içti ve ardından kapağını tekrar kapattı. Vadideki kampa döndüğünde boş şişenin çökmüş olduğunu gördü. Aşağıdakilerden hangisi bunun neden olduğunu en iyi şekilde açıklıyor?
Şıklar:
A. Vadide sıcaklık dağın zirvesine göre daha düşüktür.
B. Vadide sıcaklık dağın zirvesine göre daha yüksektir.
C. Vadideki hava basıncı dağın zirvesindekinden daha düşüktür.
D. Vadideki hava basıncı dağın zirvesindekinden daha yüksektir.",D,C
"Öğrenciler göktaşı çarpmalarını simüle etmek için kumun içine farklı kayalar attılar. Amaçları hangi kayanın en derin krateri oluşturduğunu belirlemekti. Öğrencilerin en doğru sonuçları alabilmesi için hangi değişkeni kontrol etmesi gerekir?
Şıklar:
A. kayaların bırakıldığı yükseklik
B. kayaların düşmesi için geçen ortalama süre
C. kayaların yoğunluğu
D. kayaların kütlesi",A,D
"ABO kan sınıflandırmasında kan grupları birbirinden nasıl farklıdır?
Şıklar:
A. farklı boyutlarda kırmızı kan hücreleri
B. farklı boyutlarda beyaz kan hücreleri
C. kırmızı kan hücrelerindeki farklı işaretleyici proteinler
D. beyaz kan hücrelerinde farklı işaretleyici proteinler",C,C
"İki şehir birbirinden sadece 50 kilometre uzakta olmasına rağmen şehirler farklı iklimlere sahiptir. İklimdeki bu farklılığın en olası nedeni aşağıdaki faktörlerden hangisidir?
Şıklar:
A. yükseklik
B. nüfus
C. enlem
D. boylam",A,C
"Aralık ayında Dünya'nın bir tarafı Güneş'ten diğer tarafına göre daha az enerji alacak. Bu gerçeği en iyi açıklayan ifade hangisidir?
Şıklar:
A. Dünya kendi ekseni etrafında dönmektedir.
B. Dünya kendi ekseni üzerinde eğiktir.
C. Dünya'ya ulaşan güneş ışığı Ay'dan yansır.
D. Dünya'ya ulaşan güneş ışığı Ay tarafından engelleniyor.",B,A
"Yılın büyük bölümünde Boston, Massachusetts üzerindeki hava yüksek miktarda nem içerir. Aşağıdakilerden hangisi havada neden yüksek miktarda nem bulunduğunu en iyi şekilde açıklar?
Şıklar:
A. Boston okyanusa yakın.
B. Boston alçak bir rakımdadır.
C. Boston birçok dağın yakınındadır.
D. Boston ekvatorun çok kuzeyindedir.",A,A
"Tüketicilerin hayatta kalmak için aldıkları hangi gaz üreticiler tarafından salınır?
Şıklar:
A. oksijen
B. azot
C. su buharı
D. karbon dioksit",A,D
"Sesin tuzlu suda tatlı suya göre daha hızlı yayılmasının en olası nedeni tuzlu suyun
Şıklar:
A. daha elastiktir.
B. ısıyı daha hızlı emer.
C. daha yüksek yoğunluğa sahiptir.
D. Sesi daha iyi yansıtır.",C,C
"Hangi durumda ürünü kamyonla değil uçakla göndermek avantajlı olur?
Şıklar:
A. Ürün çok ağır ve nispeten büyüktür.
B. Ürün basınçtaki değişikliklere duyarlıdır.
C. Ürün yapıldıktan hemen sonra uzun bir mesafeye teslim edilmelidir.
D. Ürün, 50 mil yarıçapındaki birçok yere teslim edilmelidir.",C,C
"Aşağıdakilerden hangisi sesin gaz içerisinde yayılma hızı üzerinde en büyük etkiye sahiptir?
Şıklar:
A. elektronların bir ortamda hareket edebilme yeteneği
B. dalganın frekansı
C. dalganın genliği
D. ortamdaki moleküllerin yakınlığı",D,D
"Birçok ürün ağaçlardan yapılmaktadır. Ağaç kullanımını yönetmenin en iyi yolu hangisidir?
Şıklar:
A. ormanlardaki ağaçların çoğunu kestik
B. daha fazla kereste fabrikası inşa etmek
C. geri dönüştürülmüş kağıt miktarını azaltın
D. her kesildiğinde bir ağaç dikmek",D,D
"Bazı bilim insanları plaka hareketinin Dünya denizlerindeki su seviyesini değiştirebileceğini öne sürüyor. Plaka hareketinin doğası deniz seviyesindeki olası değişiklikleri nasıl sınırlandırır?
Şıklar:
A. sadece küçük değişiklikler yaparak
B. yalnızca birkaç belirli okyanus havzasını değiştirerek
C. Değişikliklerin çok yavaş hızlarda gerçekleşmesine neden olarak
D. eşit ve zıt etkilere sahip eşleştirilmiş değişikliklere neden olarak",C,C
"Yeşil bir ağaç kurbağası ormanda yaşıyor. Kurbağanın yeşil rengi onun hayatta kalmasına nasıl yardımcı olur?
Şıklar:
A. Kurbağanın diğer kurbağaları bulmasına yardım ederek
B. Kurbağayı serin tutarak
C. Yaprakların üzerinde oturan kurbağanın görülmesini zorlaştırarak
D. Kurbağanın kendi yemeğini yapmasına izin vererek",C,C
"Bilim insanları Biscayne Körfezi'ndeki tortu birikintilerinden örnekler topluyor. Test sonuçları körfezdeki tuzluluğun arttığını gösteriyor. Bu çevresel değişime hangi insan etkisi yol açmış olabilir?
Şıklar:
A. 1980 yılında körfezin milli park olarak kurulması
B. Körfezin zemininde duran batık gemileri bulmak
C. körfezin dibinden deniz hayvanları toplamak
D. Körfezin kıyı şeridi boyunca enerji santralleri geliştirmek",D,D
"Cindy, ağaçların fotosentez sırasında havaya gaz saldığını öğrendi. Bir ağaç hangi gazı serbest bırakır?
Şıklar:
A. karbon dioksit
B. hidrojen
C. azot
D. oksijen",D,D
"Güneş sistemimizde birçok hareket türü meydana gelir. Hangi hareket türü bir Dünya yılını tanımlar?
Şıklar:
A. güneşin dünya etrafında dönüşü
B. dünyanın güneş etrafında dönüşü
C. güneşin dünya etrafında dönüşü
D. dünyanın güneş etrafında dönmesi",B,D
"Hangisi enerji üretmek için rüzgar türbinlerinin kullanılmasıyla ilgili bir sorundur?
Şıklar:
A. Rüzgar türbinleri yalnızca belirli bölgelerde verimlidir.
B. Rüzgar türbinleri küçük bir arazi alanını kaplar.
C. Rüzgar türbinleri büyük miktarda enerji üretir.
D. Rüzgar türbinleri büyük miktarda kirlilik yaratıyor.",A,C
"Hem euglena hem de paramesyumda üreme hakkında hangisi doğrudur?
Şıklar:
A. Dikey olarak bölünürler.
B. Gamet üretirler.
C. Konjuge olurlar.
D. Sporlar oluştururlar.",A,B
"Bir öğrenci maddenin hallerindeki değişiklikleri araştırıyor. Öğrenci dereceli bir silindiri 50 mililitre dolu karla dolduruyor. Dereceli silindirin kütlesi boşken 50 gram, karla doluyken ise 95 gramdır. Kar sıcak bir odaya konulduğunda, biriken kar sıvı suya dönüşür. Bu süreci en iyi açıklayan ifade hangisidir?
Şıklar:
A. Soğutma karların erimesine neden olur.
B. Soğutma karın donmasına neden olur.
C. Isıtma karın donmasına neden olur.
D. Isınma karların erimesine neden olur.",D,D
"Suyla ilgili hangi gerçek kimyasal özelliğe örnektir?
Şıklar:
A. Su donduğunda genleşir.
B. Suyun kaynama noktası 100°C'dir.
C. Su hidrojen ve oksijene ayrılabilir.
D. Suyun yoğunluğu buzun yoğunluğundan daha fazladır.",C,C
"Dünya tarihinin erken dönemlerinde meydana gelen volkanik patlamaların, şu anda Dünya'nın hangi yapısında bulunan maddenin büyük bir kısmından sorumlu olduğuna inanılıyor?
Şıklar:
A. örtü
B. astenosfer
C. hidrosfer
D. ozon tabakası",C,B
"Hangisi nehirlerin kurumasının doğal nedenidir?
Şıklar:
A. kirlilik
B. erozyon
C. su tablaları yükseliyor
D. yağış eksikliği",D,D
"Su büyük miktarda ısı tutabildiğinden okyanusların yakındaki kara alanları üzerinde nasıl bir etkisi vardır?
Şıklar:
A. Hızlı aşırı sıcaklık değişimlerini önlerler.
B. Magma akıntılarına neden olan yüksek basınç alanları oluştururlar.
C. Volkanik olayları tetikleyen enerjiyi sağlarlar.
D. Tatlı suyun donma noktasını düşürürler.",A,D
"Büyük kuşlar bir bölgede küçük hayvanları yiyor. Büyük kuşların tümü bir hastalıktan ölseydi, bölgedeki küçük hayvanların sayısı muhtemelen
Şıklar:
A. azaltmak
B. arttırmak
C. aynı kalır",B,B
"İnsan vücudundaki en büyük organ hangisidir?
Şıklar:
A. karın
B. beyin
C. deri
D. karaciğer",C,D
"Şekerler insan hücre fonksiyonu için gereklidir. İnsan hücreleri aşağıdakilerden hangisini yapamaz?
Şıklar:
A. Şekerlerin protein moleküllerine bağlanması
B. şekerlerden daha büyük moleküller oluşturmak
C. Daha küçük moleküllerden basit şekerler yaratmak
D. karmaşık karbonhidratların basit şekerlere parçalanması",C,D
"Bilim insanları bir popülasyondan söz ederken ne demek istiyor?
Şıklar:
A. Bir ekosistemdeki tüm organizmalar
B. benzer anatomik özellikleri paylaşan tüm türler
C. benzer yöntemlerle kaynak elde eden tüm hayvanlar
D. Bir ekosistemdeki belirli bir türün kendi aralarında üreyen tüm üyeleri",D,D
"Öğrenciler Dünyanın Güneş etrafındaki dönüşünü inceledi. Florida hangi ayda en fazla güneş ışığı enerjisine sahip olacak?
Şıklar:
A. Mart
B. Haziran
C. Eylül
D. Aralık",B,D
"Su birçok bölgede yeraltında bulunur. Yeraltındaki kireçtaşı alanından büyük miktarlarda suyun pompalanması büyük olasılıkla aşağıdakilerden hangisinin oluşmasına neden olur?
Şıklar:
A. kireçtaşında faylanma
B. Bölgedeki derelerin sular altında kalması
C. kireçtaşının üzerindeki toprak batacak
D. o bölgede oluşan kaya türünde bir değişiklik",C,B
"Dört farklı öğrenci sırayla büyük, ağır bir topu okulun otoparkına itiyor. Hangi öğrencinin topu itmek için en fazla kuvveti kullandığını belirlemenin en iyi yolu nedir?
Şıklar:
A. öğrencilerin boylarını karşılaştırın
B. Öğrencilerin yaşlarını karşılaştırın
C. topun yuvarlandığı mesafeleri karşılaştırın
D. topun kaç kez yuvarlandığını karşılaştırın",C,C
