id,question,choices,answerKey,answer
Mercury_7164430,"Cıva ve altının ikisi de metaldir. Altının aksine cıva, oda sıcaklığında sıvı halde olduğundan takı yapımında kullanılamaz. Maddenin hal farkı hangi mülkiyet türüne örnektir?
Şıklar:
A. kimyasal
B. elektriksel
C. nükleer
D. fiziksel","{'text': ['kimyasal', 'elektriksel', 'nükleer', 'fiziksel'], 'label': ['A', 'B', 'C', 'D']}",D,fiziksel
ACTAAP_2015_5_6,"Hangi ifade bir cismin kütlesini en iyi şekilde tanımlar?
Şıklar:
A. nesnenin ağırlığı
B. nesnenin hacmi
C. nesnedeki madde miktarı
D. nesne üzerindeki yerçekimi kuvvetinin miktarı","{'text': ['nesnenin ağırlığı', 'nesnenin hacmi', 'nesnedeki madde miktarı', 'nesne üzerindeki yerçekimi kuvvetinin miktarı'], 'label': ['A', 'B', 'C', 'D']}",C,nesnedeki madde miktarı
NCEOGA_2013_8_19,"Kaplanlar ve ev kedileri aynı ailenin üyeleridir; ancak boyutları oldukça farklıdır. Bu farkın nedeni nedir?
Şıklar:
A. biyokimyasal makyaj
B. davranışsal makyaj
C. genetik
D. habitat boyutu","{'text': ['biyokimyasal makyaj', 'davranışsal makyaj', 'genetik', 'habitat boyutu'], 'label': ['A', 'B', 'C', 'D']}",C,genetik
AIMS_2009_4_24,"Tyrone plastik bir şişe suya iki taş koydu ve onu salladı. Şişeyi sallamayı bıraktıktan sonra küçük taş parçalarının suda yüzdüğünü gözlemledi. Bu gözleme dayanarak yapabileceği en iyi tahmin nedir? Şişeyi sallamak taş parçalarının kırılmasına neden oluyorsa,
Şıklar:
A. daha sonra soğuk su kullanmak daha fazla parçanın kırılmasına neden olur.
B. daha sonra sıcak su kullanmak taşların renk değiştirmesini sağlayacaktır.
C. daha sonra daha uzun süre sallamak daha fazla parçanın kırılmasına neden olacaktır.
D. daha sonra daha kısa bir süre sallamak kayaların renk değiştirmesine neden olur.","{'text': ['daha sonra soğuk su kullanmak daha fazla parçanın kırılmasına neden olur.', 'daha sonra sıcak su kullanmak taşların renk değiştirmesini sağlayacaktır.', 'daha sonra daha uzun süre sallamak daha fazla parçanın kırılmasına neden olacaktır.', 'daha sonra daha kısa bir süre sallamak kayaların renk değiştirmesine neden olur.'], 'label': ['A', 'B', 'C', 'D']}",C,daha sonra daha uzun süre sallamak daha fazla parçanın kırılmasına neden olacaktır.
Mercury_SC_405481,"Bir ağacın sapı ile bir çiçeğin sapı nasıl birbirine çok benzer?
Şıklar:
A. İkisi de yumuşak.
B. Her ikisinin de dikenleri var.
C. Her ikisi de tesisi destekliyor.
D. Her ikisinin de odunsu kabuğu vardır.","{'text': ['İkisi de yumuşak.', 'Her ikisinin de dikenleri var.', 'Her ikisi de tesisi destekliyor.', 'Her ikisinin de odunsu kabuğu vardır.'], 'label': ['A', 'B', 'C', 'D']}",C,Her ikisi de tesisi destekliyor.
Mercury_SC_401354,"Bir öğrenci yanlışlıkla yere düştüğünde kırılan bir test tüpünü düşürür. Kırık camı geri almanın en iyi yolu hangisidir?
Şıklar:
A. parçaları kağıt havluyla alın
B. kimyasal dökülme kiti kullanın
C. faraş ve süpürge kullan
D. parçaları elle topla","{'text': ['parçaları kağıt havluyla alın', 'kimyasal dökülme kiti kullanın', 'faraş ve süpürge kullan', 'parçaları elle topla'], 'label': ['A', 'B', 'C', 'D']}",C,faraş ve süpürge kullan
MCAS_2003_8_29,"Asma köprü tasarlayan bir mühendis, köprünün başlangıçta tahmin edilenin iki katını taşıması gerektiğini keşfeder. Güvenliği sağlamak için mühendisin orijinal tasarımında yapması gereken bir değişiklik,
Şıklar:
A. gerilim altındaki tellerin uzunluğu.
B. gerilim altındaki tellerin çapı.
C. destek kulelerinin yüksekliği.
D. köprünün uzunluğu.","{'text': ['gerilim altındaki tellerin uzunluğu.', 'gerilim altındaki tellerin çapı.', 'destek kulelerinin yüksekliği.', 'köprünün uzunluğu.'], 'label': ['A', 'B', 'C', 'D']}",B,gerilim altındaki tellerin çapı.
Mercury_7159530,"Rolando çeşitli sıvıların hangi sıcaklıkta kaynadığını görmek istiyor. Musluk suyunu kaynatıp sıcaklığını kaydediyor. Daha sonra süt ilaveli musluk suyunu ve şeker ilaveli musluk suyunu kaynatıyor. Önce sade musluk suyunu kaynatmanın amacı nedir?
Şıklar:
A. manipüle edecek bir faktör eklemek
B. bir problemin olası bir açıklamasına sahip olmak
C. diğerlerini gözlemlerken bir değişkeni değiştirmek
D. sonuçların karşılaştırılabileceği bir standart sağlamak","{'text': ['manipüle edecek bir faktör eklemek', 'bir problemin olası bir açıklamasına sahip olmak', 'diğerlerini gözlemlerken bir değişkeni değiştirmek', 'sonuçların karşılaştırılabileceği bir standart sağlamak'], 'label': ['A', 'B', 'C', 'D']}",D,sonuçların karşılaştırılabileceği bir standart sağlamak
AKDE&ED_2008_8_3,"Kış ve yaz sıcaklıkları normalin altında ve yağış oranları normalin üzerinde olduğunda büyük olasılıkla ne olur?
Şıklar:
A. Erime suyu azalır ve buzulun boyutu azalır.
B. Erime suyu azalır ve buzulun boyutu artar.
C. Erime suyu artar ve buzulun boyutu azalır.
D. Erime suyu artar ve buzulun boyutu artar.","{'text': ['Erime suyu azalır ve buzulun boyutu azalır.', 'Erime suyu azalır ve buzulun boyutu artar.', 'Erime suyu artar ve buzulun boyutu azalır.', 'Erime suyu artar ve buzulun boyutu artar.'], 'label': ['A', 'B', 'C', 'D']}",B,Erime suyu azalır ve buzulun boyutu artar.
Mercury_7040775,"Fotosentez sırasında hangi ürünler üretilir?
Şıklar:
A. klorür ve şeker
B. oksijen ve şeker
C. nitrojen ve şeker
D. karbondioksit ve şeker","{'text': ['klorür ve şeker', 'oksijen ve şeker', 'nitrojen ve şeker', 'karbondioksit ve şeker'], 'label': ['A', 'B', 'C', 'D']}",B,oksijen ve şeker
ACTAAP_2011_5_16,"Pat bir miktar sofra tuzunu suda çözer. Daha sonra mikroskop lamı üzerine bir damla su koyuyor ve lambayı açıyor. Pat, su buharlaştıkça küçük kübik yapıların oluştuğunu gözlemliyor. Pat mikroskopta hangi süreci görüyor?
Şıklar:
A. cevherin saflaştırılması
B. bir kristalin büyümesi
C. sıvının katı hale gelmesi
D. granüllerin çökelmesi","{'text': ['cevherin saflaştırılması', 'bir kristalin büyümesi', 'sıvının katı hale gelmesi', 'granüllerin çökelmesi'], 'label': ['A', 'B', 'C', 'D']}",B,bir kristalin büyümesi
Mercury_SC_401666,"Bir öğrencinin bilinmeyen bir maddenin bileşimini belirlemesine en iyi hangi soru yardımcı olur?
Şıklar:
A. Numune sıcak mı soğuk mu?
B. Örnek ne kadar değerli?
C. Numune hiç eritildi mi?
D. Numune elektriği iletiyor mu?","{'text': ['Numune sıcak mı soğuk mu?', 'Örnek ne kadar değerli?', 'Numune hiç eritildi mi?', 'Numune elektriği iletiyor mu?'], 'label': ['A', 'B', 'C', 'D']}",D,Numune elektriği iletiyor mu?
MDSA_2009_4_34,"Bir bilim adamı, Maryland'e özgü bitkilerin çöl koşullarında ne kadar iyi büyüyebileceğini araştırdı. Bilim adamı eşit miktarda çöl toprağını 10 özdeş konteynere yerleştirdi. Her kapta aynı türden iki bitki bulunuyordu. Bilim adamı toplam 10 farklı bitki türünü araştırdı. Bilim adamı tüm kapları sıcak, çöl benzeri koşullar yaratacak şekilde ayarlanmış bir seraya yerleştirdi. Bilim adamı, önümüzdeki beş hafta boyunca bitkilere eşit ancak küçük miktarlarda su verdi. Beş haftalık araştırma sonrasında bitkilerin çoğu hayatta kalamadı. Hangi ifade, bitkilerden 16'sının neden hayatta kalmadığını en iyi şekilde açıklar?
Şıklar:
A. Bitkiler çöl koşullarında yetişmez.
B. Çevrelerindeki ciddi değişikliklere çok az bitki hayatta kalabilir.
C. Maryland'e özgü bitkiler bilimsel araştırmalar için iyi değildir.
D. Maryland'e özgü bitkiler yalnızca Maryland'de hayatta kalabilmektedir.","{'text': ['Bitkiler çöl koşullarında yetişmez.', 'Çevrelerindeki ciddi değişikliklere çok az bitki hayatta kalabilir.', ""Maryland'e özgü bitkiler bilimsel araştırmalar için iyi değildir."", ""Maryland'e özgü bitkiler yalnızca Maryland'de hayatta kalabilmektedir.""], 'label': ['A', 'B', 'C', 'D']}",B,Çevrelerindeki ciddi değişikliklere çok az bitki hayatta kalabilir.
Mercury_7140035,"Solucanlar üst toprakta rastgele hareket ederler. Solucanlar büyük olasılıkla üst toprağı nasıl etkiler?
Şıklar:
A. üst toprağın sıkıştırılmasıyla
B. üst toprağın verimliliğini azaltarak
C. üst toprağa besin ekleyerek
D. minerallerin üst topraktan uzaklaştırılmasıyla","{'text': ['üst toprağın sıkıştırılmasıyla', 'üst toprağın verimliliğini azaltarak', 'üst toprağa besin ekleyerek', 'minerallerin üst topraktan uzaklaştırılmasıyla'], 'label': ['A', 'B', 'C', 'D']}",C,üst toprağa besin ekleyerek
Mercury_184258,"Aşağıdaki akarsu özelliklerinden hangisi akarsu çökelmelerini en doğrudan etkiler?
Şıklar:
A. degrade
B. yükseklik
C. Taban seviyesi
D. su kalitesi","{'text': ['degrade', 'yükseklik', 'Taban seviyesi', 'su kalitesi'], 'label': ['A', 'B', 'C', 'D']}",A,degrade
Mercury_SC_400400,"Ampul ışığın yanı sıra başka hangi enerji türünü üretir?
Şıklar:
A. termal
B. kimyasal
C. manyetik
D. mekanik","{'text': ['termal', 'kimyasal', 'manyetik', 'mekanik'], 'label': ['A', 'B', 'C', 'D']}",A,termal
MDSA_2010_4_20,"Çiftçiler farklı türde ürünler yetiştiriyor. Aşağıdaki faktörlerden hangisi bir çiftçinin yetiştirdiği ürün türünü en çok etkiler?
Şıklar:
A. toprak derinliği
B. yağış miktarı
C. mevcut arazi miktarı
D. mevcut tohum sayısı","{'text': ['toprak derinliği', 'yağış miktarı', 'mevcut arazi miktarı', 'mevcut tohum sayısı'], 'label': ['A', 'B', 'C', 'D']}",B,yağış miktarı
Mercury_7130620,"İki özdeş kabın her birinde bir litre su bulunur. Bir kap sıvı halde oda sıcaklığında tutulur. Diğer kap ise dondurucuya konularak katı halde saklanır. Maddenin her iki durumunda da aynı olma olasılığı en yüksek olan özellik hangisidir?
Şıklar:
A. yoğunluk
B. yığın
C. şekil
D. hacim","{'text': ['yoğunluk', 'yığın', 'şekil', 'hacim'], 'label': ['A', 'B', 'C', 'D']}",B,yığın
Mercury_7200165,"Bay Jenkins'in sınıfı cinsiyet kromozomları üzerinde çalışıyor. Öğrencilerine insan hücrelerinin çekirdeğinde 22 çift otozom bulunduğunu anlatıyor. İnsan vücudunda kaç tane cinsiyet kromozomu var?
Şıklar:
A. 1
B. 2
C. 23
D. 46","{'text': ['1', '2', '23', '46'], 'label': ['A', 'B', 'C', 'D']}",B,2
Mercury_SC_405501,"Bir öğrenci suda ne kadar şekerin çözülebileceğini görmek için bir deney yaptı. Öğrenci suya kaç çay kaşığı şeker eklendiğini yazdı. Öğrencinin bilgiyi kaydetmesinin en olası nedeni nedir?
Şıklar:
A. Hangi tür suyun kullanılacağını görmek için
B. Hangi tür şekerin kullanılacağını bilmek
C. deneyin bir modelini oluşturmak
D. deneyi tekrarlayabilmek için","{'text': ['Hangi tür suyun kullanılacağını görmek için', 'Hangi tür şekerin kullanılacağını bilmek', 'deneyin bir modelini oluşturmak', 'deneyi tekrarlayabilmek için'], 'label': ['A', 'B', 'C', 'D']}",D,deneyi tekrarlayabilmek için
ACTAAP_2013_7_17,"Bir grup, Arkansas'ta uçan su kuşlarının sayısının her yıl değişip değişmediğini öğrenmek istiyor. Bu bilgiyi toplamak için hangi yöntemi kullanmaları gerekir?
Şıklar:
A. Bir yıl boyunca mümkün olduğu kadar çok kuş yakalayın. Her kuşun konumu hakkında veri toplayın.
B. Gelecek yıl baharın ilk gününde eyaletteki en büyük göldeki kuş sayısını sayın. Verileri geçen yılla karşılaştırın.
C. Eyalet hattında bir yere bir gözlemci koyun. Bu kişiden eyalete uçan kuşları saymasını isteyin. Bunu iki yıl boyunca yapın.
D. Taşıma sırasında yılda bir gün seçin. Eyalet genelindeki on farklı göldeki kuş sayısını sayın. Bunu on yıl boyunca her yıl aynı günde yapın.","{'text': ['Bir yıl boyunca mümkün olduğu kadar çok kuş yakalayın. Her kuşun konumu hakkında veri toplayın.', 'Gelecek yıl baharın ilk gününde eyaletteki en büyük göldeki kuş sayısını sayın. Verileri geçen yılla karşılaştırın.', 'Eyalet hattında bir yere bir gözlemci koyun. Bu kişiden eyalete uçan kuşları saymasını isteyin. Bunu iki yıl boyunca yapın.', 'Taşıma sırasında yılda bir gün seçin. Eyalet genelindeki on farklı göldeki kuş sayısını sayın. Bunu on yıl boyunca her yıl aynı günde yapın.'], 'label': ['A', 'B', 'C', 'D']}",D,Taşıma sırasında yılda bir gün seçin. Eyalet genelindeki on farklı göldeki kuş sayısını sayın. Bunu on yıl boyunca her yıl aynı günde yapın.
Mercury_SC_401006,"Ölçmek için terazi kullanılır
Şıklar:
A. yığın.
B. uzunluk.
C. hacim.
D. sıcaklık.","{'text': ['yığın.', 'uzunluk.', 'hacim.', 'sıcaklık.'], 'label': ['A', 'B', 'C', 'D']}",A,yığın.
Mercury_7143010,"Bir tekne körfezden tatlı su gölüne doğru ilerledi ve göle yerli olmayan bir bitki getirdi. Yeni tesis tatlı su ortamına uyum sağlarsa gölde bunun en olası sonucu ne olur?
Şıklar:
A. Bazı yerli bitki popülasyonları artacak.
B. Bazı yerli bitki popülasyonları azalacak.
C. Su sıcaklıkları hızla dalgalanacaktır.
D. Su acı bir hale gelecektir.","{'text': ['Bazı yerli bitki popülasyonları artacak.', 'Bazı yerli bitki popülasyonları azalacak.', 'Su sıcaklıkları hızla dalgalanacaktır.', 'Su acı bir hale gelecektir.'], 'label': ['A', 'B', 'C', 'D']}",B,Bazı yerli bitki popülasyonları azalacak.
Mercury_405873,"Hangi ifade İnternet'in birçok insanın yaşamını iyileştirmeye nasıl yardımcı olduğunu en iyi şekilde tanımlar?
Şıklar:
A. İnternet kütüphane ihtiyacını ortadan kaldırdı.
B. İnsanlar bilgiye birçok yerden ulaşabilmektedir.
C. İnsanlar artık işlerini evden de yapabiliyor.
D. İnternet öğrencilerin ödevlerine daha fazla konsantre olmalarını sağlar.","{'text': ['İnternet kütüphane ihtiyacını ortadan kaldırdı.', 'İnsanlar bilgiye birçok yerden ulaşabilmektedir.', 'İnsanlar artık işlerini evden de yapabiliyor.', 'İnternet öğrencilerin ödevlerine daha fazla konsantre olmalarını sağlar.'], 'label': ['A', 'B', 'C', 'D']}",B,İnsanlar bilgiye birçok yerden ulaşabilmektedir.
MEA_2010_8_15,"Hangi süreç Dünya yüzeyindeki ani değişime en iyi örnektir?
Şıklar:
A. heyelanlar gevşek kayaları yokuş aşağı hareket ettiriyor
B. deniz tabanında biriken çökeltiler
C. Akarsuların ağzında deltalar oluşuyor
D. dağlar oluşuyor","{'text': ['heyelanlar gevşek kayaları yokuş aşağı hareket ettiriyor', 'deniz tabanında biriken çökeltiler', 'Akarsuların ağzında deltalar oluşuyor', 'dağlar oluşuyor'], 'label': ['A', 'B', 'C', 'D']}",A,heyelanlar gevşek kayaları yokuş aşağı hareket ettiriyor
Mercury_7198380,"Aynı ekosistemde farklı otçul kemirgen türleri yaşıyordu. Hangi faktör büyük olasılıkla artarak kemirgenler arasında kaynaklar için daha fazla rekabete neden olmuştur?
Şıklar:
A. toprağın verimliliği
B. Bölgedeki üretici nüfusu
C. Yırtıcı hayvanların bıraktığı yiyecek artıklarının miktarı
D. birincil tüketicilerin bölgeye taşınma hızı","{'text': ['toprağın verimliliği', 'Bölgedeki üretici nüfusu', 'Yırtıcı hayvanların bıraktığı yiyecek artıklarının miktarı', 'birincil tüketicilerin bölgeye taşınma hızı'], 'label': ['A', 'B', 'C', 'D']}",D,birincil tüketicilerin bölgeye taşınma hızı
MCAS_1999_4_23,"Ay neden bazen gece görülebildiği gibi gündüz de görülebiliyor?
Şıklar:
A. Ay, Güneş'ten gelen ışığı her zaman yansıtır.
B. Güneş her gün Dünya ve Ay'ın etrafında döner.
C. Dünya her zaman Ay'dan gelen ışığı yansıtır.
D. Ay her gün Dünya'nın etrafında döner.","{'text': [""Ay, Güneş'ten gelen ışığı her zaman yansıtır."", ""Güneş her gün Dünya ve Ay'ın etrafında döner."", ""Dünya her zaman Ay'dan gelen ışığı yansıtır."", ""Ay her gün Dünya'nın etrafında döner.""], 'label': ['A', 'B', 'C', 'D']}",A,"Ay, Güneş'ten gelen ışığı her zaman yansıtır."
Mercury_SC_400579,"Bir gece yırtıcı hayvan türünün vahşi doğada hayatta kalabilmek için zaman içinde hangi özellikleri geliştirmesi muhtemeldir?
Şıklar:
A. küçük bir boyut
B. düz, gıcırdayan dişler
C. keskin görüş ve işitme
D. hava değişikliklerine karşı direnç","{'text': ['küçük bir boyut', 'düz, gıcırdayan dişler', 'keskin görüş ve işitme', 'hava değişikliklerine karşı direnç'], 'label': ['A', 'B', 'C', 'D']}",C,keskin görüş ve işitme
Mercury_SC_411306,"Bazı farklı bitki türlerinin ortak özellikleri vardır. Çoğu bitki hangi özelliği paylaşıyor?
Şıklar:
A. köklerinin büyüklüğü
B. yapraklarının şekli
C. çiçeklerinin rengi
D. hücrelerinin yapısı","{'text': ['köklerinin büyüklüğü', 'yapraklarının şekli', 'çiçeklerinin rengi', 'hücrelerinin yapısı'], 'label': ['A', 'B', 'C', 'D']}",D,hücrelerinin yapısı
Mercury_7074865,"Algler, bakteriler ve çiçekli bitkiler için aşağıdakilerden hangisi doğrudur?
Şıklar:
A. İnorganiktirler.
B. Hepsinde klorofil var.
C. Hücrelerden oluşurlar.
D. Hepsi diğer organizmalarla beslenir.","{'text': ['İnorganiktirler.', 'Hepsinde klorofil var.', 'Hücrelerden oluşurlar.', 'Hepsi diğer organizmalarla beslenir.'], 'label': ['A', 'B', 'C', 'D']}",C,Hücrelerden oluşurlar.
Mercury_7238963,"İnsanlardaki yarık çene, baskın alel C tarafından kodlanır. Yarık olmayan bir çene, resesif alel c tarafından kodlanır. Özellik için cc alel kombinasyonuna sahip bir erkek, bu özellik için Cc alel kombinasyonuna sahip bir kadınla birlikte bir zigot üretir. Zigotta hangi alel kombinasyonları oluşabilir?
Şıklar:
A. Cc veya cc
B. CC veya Cc
C. Yalnızca CC
D. Yalnızca bilgi","{'text': ['Cc veya cc', 'CC veya Cc', 'Yalnızca CC', 'Yalnızca bilgi'], 'label': ['A', 'B', 'C', 'D']}",A,Cc veya cc
FCAT_2008_5_2,"Kök birçok bitkinin önemli bir parçasıdır. Aşağıdakilerden hangisi bitki gövdesinin üstlendiği role en çok benzemektedir?
Şıklar:
A. tekneyi yerinde tutan çapa
B. enerji barları üreten bir atıştırmalık şirketi
C. insanları bir mağazaya çeken renkli bir tabela
D. malzemeleri bir kattan diğerine taşıyan bir asansör","{'text': ['tekneyi yerinde tutan çapa', 'enerji barları üreten bir atıştırmalık şirketi', 'insanları bir mağazaya çeken renkli bir tabela', 'malzemeleri bir kattan diğerine taşıyan bir asansör'], 'label': ['A', 'B', 'C', 'D']}",D,malzemeleri bir kattan diğerine taşıyan bir asansör
Mercury_SC_409171,"Bir grup mühendis, farklı bina tasarımlarının deprem sırasında nasıl tepki vereceğini bilmek istedi. Birkaç bina modeli yaptılar ve her birinin deprem koşullarına dayanma yeteneği açısından test ettiler. Farklı bina tasarımlarının test edilmesinin sonucunda hangisi büyük olasılıkla ortaya çıkacaktır?
Şıklar:
A. Binalar daha hızlı inşa edilecek
B. Binalar daha güvenli hale getirilecek
C. bina tasarımları daha güzel görünecek
D. inşaat malzemeleri daha ucuz olacak","{'text': ['Binalar daha hızlı inşa edilecek', 'Binalar daha güvenli hale getirilecek', 'bina tasarımları daha güzel görünecek', 'inşaat malzemeleri daha ucuz olacak'], 'label': ['A', 'B', 'C', 'D']}",B,Binalar daha güvenli hale getirilecek
Mercury_SC_409030,"Tanya, hangi ev eşyalarının mıknatıs tarafından çekildiğini araştırıyor. Hangisi onun bir sonuca varmasına yardımcı olacak?
Şıklar:
A. bir tahmin
B. bir hipotez
C. malzeme listesi
D. bir sonuç tablosu","{'text': ['bir tahmin', 'bir hipotez', 'malzeme listesi', 'bir sonuç tablosu'], 'label': ['A', 'B', 'C', 'D']}",D,bir sonuç tablosu
Mercury_7099365,"Bilim insanları Dünyanın sürekli değiştiğini biliyor. Günlük, aylık ve yıllık olarak tekrarlanan süreçlere aşinadırlar. Aşağıdakilerden hangisi her ay gerçekleşmesi tahmin edilebilecek doğa olaylarından biridir?
Şıklar:
A. Volkanik patlamalar
B. deprem etkinliği
C. Ay'ın safhaları
D. yağış miktarları","{'text': ['Volkanik patlamalar', 'deprem etkinliği', ""Ay'ın safhaları"", 'yağış miktarları'], 'label': ['A', 'B', 'C', 'D']}",C,Ay'ın safhaları
VASoL_2007_5_21,"Aşağıdaki hayvanlardan hangisi omurgasız bir hayvandır?
Şıklar:
A. Sincap
B. Deniz martı
C. Kriket
D. Kertenkele","{'text': ['Sincap', 'Deniz martı', 'Kriket', 'Kertenkele'], 'label': ['A', 'B', 'C', 'D']}",C,Kriket
Mercury_402547,"Bir öğrenci, odadaki havayla dolu, hava geçirmez, şeffaf bir kabın içine canlı bir yeşil bitki yerleştirdi. Konteyner bir hafta boyunca güneş ışığına maruz bırakıldı. Haftanın sonunda öğrenci hangi gazların konsantrasyonunun arttığını belirleyecekti. Bitkinin uygun şekilde büyümesi için yeterli su ve karbondioksitin mevcut olduğunu varsayarsak, artan konsantrasyonda hangi gazın bulunmasını beklersiniz?
Şıklar:
A. C
B. HAYIR_{2}
C. O_{2}
D. CO","{'text': ['C', 'HAYIR_{2}', 'O_{2}', 'CO'], 'label': ['A', 'B', 'C', 'D']}",C,O_{2}
